category,asin,description,ean,mpn,brand,upc,sold_items,url,sold,ebayID,price
,,,,,,Does not apply,,http://www.ebay.com/itm/Fashion-LED-Lamp-Light-Crystal-Decoration-Home-Party-Decor-Xmas-Christmas-Tree/131992854502?hash=item1ebb631fe6%3Ag%3AWe8AAOSw4GVYHEi1,117 ,131992854502,1.21
,,,,,,,,http://www.ebay.com/itm/6PCS-Christmas-Santa-Claus-Ornaments-Xmas-Tree-Hanging-Decoration-Festival-Home/142094912150?hash=item2115844a96%3Am%3AmETShUyJKrjUQ1cNykig94A&var=,126 ,6,C $0.99
,,,,,,,,http://www.ebay.com/itm/12X-Christmas-Tree-Bow-Decoration-Baubles-XMAS-Party-Garden-Bows-Ornament-NEW/201437307739?hash=item2ee699635b%3Am%3Am8NJgU0VNvUGTZr9Tl4823A&var=,664 ,12,C $0.99
,,,,,,,,http://www.ebay.com/itm/24Pcs-Xmas-Bowknot-Cute-Christmas-Tree-Decoration-Wedding-Party-Garden-Ornament/122192434600?hash=item1c733c95a8%3Am%3Am5kvKFY1tuphrqDqPXceLmA&var=,184 ,24,C $0.99
,,,,,Unbranded/Generic,,,http://www.ebay.com/itm/New-Christmas-Tree-Stars-Decorations-Baubles-Xmas-Party-Wedding-Ornament-DIY/122226731045?hash=item1c7547e825%3Am%3AmO_g7OKkcxPcP0FwqLwKEKg&var=,131 ,122226731045,C $1.17
,,,3964871005809,,,,,http://www.ebay.com/itm/Xmas-Tree-Ornament-Decoration-Party-Holiday-Christmas-Dark-Green-Ribbon-Decor/351517118879?hash=item51d80d919f%3Ag%3AyR0AAOSwFnFV-QsX,3575 ,351517118879,C $0.99
,,,Does not apply,,,,,http://www.ebay.com/itm/6Pcs-Set-Mini-Red-Christmas-Santa-Claus-Ornaments-Xmas-Tree-Hanging-Decorations/391295461844?hash=item5b1b06e9d4%3Ag%3AlD8AAOSwA4dWIIfp,124 ,6,C $0.99
,,,,,,,,http://www.ebay.com/itm/New-Xmas-Christmas-Tree-Hanging-Flag-Banner-Ornament-Gift-Home-Yard-Party-Decor/201673310115?hash=item2ef4aa7fa3%3Am%3Am71juPfPgzUDWiuZ3KmMXDg&var=,393 ,201673310115,1.68
,,,,,,,,http://www.ebay.com/itm/6-12PC-Drum-Pendant-Christmas-Tree-Hanging-Decoration-Ornaments-Party-Xmas-Decor/291883192335?hash=item43f598100f%3Am%3AmBHZs5bwDlKC1xfr4jhJ4Tw&var=,205 ,6,C $0.99
,,,,,,,,http://www.ebay.com/itm/New-10pcs-Glitter-Hollow-Wedding-Party-Christmas-Flowers-Xmas-Tree-Decorations/291931923073?hash=item43f87fa281%3Am%3Amtwrzb6z_HX4qknv6d0EUWA&var=,63 ,291931923073,0.99
,,,,,,,12,http://www.ebay.com/itm/6Pcs-Christmas-Decorations-Wooden-Ornament-Xmas-Tree-Hanging-Tags-Pendant-Decor/253147934286?hash=item3af0caee4e%3Ag%3AMBQAAOSwjwtZts8z,65 ,6,not_set
,,,Does not apply,,,,,http://www.ebay.com/itm/Xmas-Christmas-Tree-Color-Changing-LED-Light-Lamp-Home-Party-Decoration-Ornament/381762398514?hash=item58e2cfe932%3Ag%3A2nsAAOSw9IpXz8EQ,1311 ,381762398514,C $1.39
,,,,,Unbranded,,,http://www.ebay.com/itm/24pcs-Christmas-Tree-Xmas-Balls-Decorations-Baubles-Party-Wedding-Ornament/371498534671?epid=2120977408&hash=item567f09c70f%3Am%3Amq-qWeRcmNI3sYbjzKdAAZg&var=,1502 ,24,1.95
,,,,,,Does not apply,8,http://www.ebay.com/itm/12pcs-Christmas-Snowflakes-Ornaments-Festival-Party-Tree-Hanging-Decor-Set/272461286155?epid=703703102&hash=item3f6ff54b0b%3Ag%3AWOkAAOSwB09YIWOC,115 ,12,1.19
,,,,,,,,http://www.ebay.com/itm/Chic-Xmas-String-Hanging-Star-Christmas-Party-Decoration-Christmas-Tree-Ornament/232119672817?hash=item360b691ff1%3Am%3AmrCqhsvxQofB5_NI8KHtR_w&var=,135 ,232119672817,C $0.99
,,,,Does not apply,,,,http://www.ebay.com/itm/12Pcs-Color-Bow-Christmas-Tree-Xmas-Hanging-Ornament-Bowknot-Party-Decor/232132624460?hash=item360c2ec04c%3Am%3AmP3n5Gz8A3-40sFe9MfmaTg&var=,331 ,12,C $2.69
,,,3004654563215,,,,,http://www.ebay.com/itm/12PCS-Christmas-Snowball-4CM-Balls-Party-Ornaments-Xmas-Tree-Hanging-Decoration/391266111763?hash=item5b19471113%3Ag%3AEbMAAOSw9r1V%7EPW7,842 ,12,C $0.99
,,,,,,Does not apply,,http://www.ebay.com/itm/Xmas-Tree-Ornaments-Christmas-Green-Ribbon-Decoration-Home-Party-Holiday-Decor/191986085271?hash=item2cb3432d97%3Ag%3AD1oAAOSw8w1X8cf6,176 ,191986085271,C $0.99
,,,Does not apply,,,,,http://www.ebay.com/itm/12Pcs-Pretty-Christmas-Tree-Ornaments-Xmas-Tree-Hanging-Gift-Box-Decoration/181903452041?hash=item2a5a4a6789%3Ag%3AnPgAAOSw5VFWH0aY,178 ,12,C $0.99
,,,,,,Does not apply,5,http://www.ebay.com/itm/10pcs-set-Christmas-Snowman-Wine-Glass-Decoration-Cards-Xmas-Party-Ornaments/401218844956?hash=item5d6a81b91c%3Ag%3AjSAAAOSwA3dYGgLX,54 ,10,0.99
,,,9096567400057,,,,,http://www.ebay.com/itm/1PC-11cm-Mini-Christmas-Tree-Festival-Party-Ornaments-Decoration-Xmas-Gift/391236285690?hash=item5b177ff4fa%3Ag%3AzkQAAOSw5VFWKulj,1032 ,1,C $0.99
,,,,Does Not Apply,,,,http://www.ebay.com/itm/12-Pcs-Xmas-Bowknot-Ornament-Hanging-Decoration-Christmas-Tree-Decor/131936612994?hash=item1eb808f282%3Am%3AmXspvonEr95oQFMWe9K1cxg&var=,278 ,12,C $0.99
